category,site,site_type,title,price,shipping,currency,condition,url
gundam,eBay,marketplace,Bandai Hobby SEED Aile Strike Gundam Ver. RM  MG 1/100 Model Kit USA Seller,55.95,0.0,USD,New,https://www.ebay.com/itm/137453155071?_skw=gundam&hash=item2000d8b2ff:g:3CcAAeSw5B5qg-t9
gundam,eBay,marketplace,Bandai Hobby Gundam 00 Gundam Exia Repair II HG 1/144 Model Kit USA Seller,22.89,0.0,USD,New,https://www.ebay.com/itm/147474099562?_skw=gundam&hash=item2256242d6a:g:xdcAAeSwkNxqdojS
gundam,eBay,marketplace,"#70 MS-14S Char's Gelgoog Mobile Suit Gundam, Bandai Hobby HGUC",20.0,0.0,USD,New,https://www.ebay.com/itm/188555189100?_skw=gundam&hash=item2be6c3db6c:g:FTQAAeSwKXpqO~GC
gundam,eBay,marketplace,Bandai Hobby HGFC #128 Master Gundam and Fuunsaiki HG 1/144 Model Kit USA Seller,47.95,0.0,USD,New,https://www.ebay.com/itm/147517830333?_skw=gundam&hash=item2258bf74bd:i:147517830333
gundam,eBay,marketplace,Bandai HG 1/144 Gundam Gusion,16.99,5.99,USD,New,https://www.ebay.com/itm/198579026316?_skw=gundam&hash=item2e3c3b798c:g:h3EAAeSwRUZqh2~S
gundam,eBay,marketplace,HG 1/144 RX-178 MK-II Real Color Model Kit Action Figure Toy ,21.99,0.0,USD,New,https://www.ebay.com/itm/358676410340?_skw=gundam&hash=item5382c7afe4:g:1AEAAeSwQhRqLeMc&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZLhIEMUbaeYpT0NkL6FE98Ay8isbkcvSJP3fOXNQO8Vo4%2BVHzWfnKNfnGrfpfot2qYB2YeeCher%2FNq0QdfToufiWnmgwcbCaVsNYWMc2dJG9qij7Gf5Jf4IeKvunazltSYbuydztCDa3qzBbHL8awYq%2BhKbYbWuZbsgNjMXnKm27RriUndK7f7RQndvPk3ukbQ7ccFONdPTCihVxpceCsr6PQrUXbRSGdKHR9r6LQ3cctDy1EiA9HewMXre3M7SYLPFb9lWdPqiRN5juT0IDXa
gundam,eBay,marketplace,Bandai Hobby Gundam U.C. Hard Graph EFSF FF-X7 Core Fighter 1/35 Model Kit,69.95,0.0,USD,New,https://www.ebay.com/itm/137546188414?_skw=gundam&hash=item200664467e:i:137546188414&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGYBCXhzrMK%2Fk8YFzre1B%2BbeElF6WA6qPESv3DPTbrlrOVwFze8yyNZIpASN8MTrPN0%2B78I3u%2FlImYLIt02%2FIuet7x%2Fkg7YjfxgYiF2KTvqYQDB3bo3UwuAAg46d6e%2FaqoSQNxF7FxnQ9lHGfcTiXhceHQNLGG6BeMpYTeV7lWUXxY%2Ft%2F2uyKvDcYGPr2%2FalMctvmMiKwyxH2aTgFS0mTpJ1PiWzIboSGA1%2FFsIjC0S7cDg6go9OlQPensVceSo8k4sIJU3FHVnu0yj4eHOaoAVH
gundam,eBay,marketplace,Mobile Suit Ensemble 10 Bandai Gundam Capsule Assembly Model Kits Collectible,15.99,10.99,USD,New,https://www.ebay.com/itm/398296407607?_skw=gundam&hash=item5cbc50de37:g:H3MAAeSw1yVqgpRV&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZyeaNT119qFfQ4k41katOSxiwWxfVUQtnPKBjrDrGIH7O8apvTdA61qN5YCVqJqZEv0XW4JM5nFnZbuPr%2FXslinDGv9NStr26e8DTkiC%2BEKXzrLUYQSrQbgfnH%2BUUxBsVRjch3nFTd%2FbaezmyFZA20tZwyK6xdW%2B%2Bh82DGnxv795zXIP7p%2BhH%2FJOhX%2FmKHoGoHQuBBSmS5F5w1cqUvYp1hefMqYHXiE%2FTthHv8DTNOe4SOOoHM5QAXXgn7mB0bRBfLfzn0TLyfbkoVWIy%2B83tb
gundam,eBay,marketplace,HG 1/144 RX-178 MK-II Real Color Model Kit Action Figure Toy ,21.99,0.0,USD,New,https://www.ebay.com/itm/358676410340?_skw=gundam&hash=item5382c7afe4:g:1AEAAeSwQhRqLeMc&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZLhIEMUbaeYpT0NkL6FE98Ay8isbkcvSJP3fOXNQO8Vo4%2BVHzWfnKNfnGrfpfot2qYB2YeeCher%2FNq0QdfToufiWnmgwcbCaVsNYWMc2dJG9qij7Gf5Jf4IeKvunazltRrD%2F1CL8xD7gTiauKx5Yrv2e9YVbMRiUspIYJ2FNMMhmkV1dpPY5p5LDOj%2Fh4Rl3Tbu2EgP1PGA%2Bd8m%2BcuHMJicyyet4atXHMf2w9RM%2BOa9kw95dpZJJG2l4zWSBgbg1w3KuE74I7CJ3y%2BV5Dslg1I
gundam,eBay,marketplace,Bandai Hobby Gundam U.C. Hard Graph EFSF FF-X7 Core Fighter 1/35 Model Kit,69.95,0.0,USD,New,https://www.ebay.com/itm/137546188414?_skw=gundam&hash=item200664467e:i:137546188414&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGYBCXhzrMK%2Fk8YFzre1B%2BbeElF6WA6qPESv3DPTbrlrOVwFze8yyNZIpASN8MTrPN0%2B78I3u%2FlImYLIt02%2FIuet7x%2Fkg7YjfxgYiF2KTvqYQDB3bo3UwuAAg46d6e%2FaqoSh0QwTcuB%2Fcw31vzoBk1csLewvf3n%2BMcmVeCD1rNpO00hiWgaN2dWPOZCe5QMTEqpS3tIakCFFBkp2frIJ82iWptmTb%2Fa5LDZYGnjJB%2FLalYSgDEgYrLX6D1SrubtLsZ2LXy8K73Mec5IzYOxJXNwv
gundam,eBay,marketplace,Mobile Suit Gundam: The Origin HG 1/144 MS-06C-6/R6 Zaku II Type C-6/R6 Assembly,17.89,2.0,USD,New,https://www.ebay.com/itm/358580576658?_skw=gundam&hash=item537d116192:g:ujoAAeSwzRxqDsK2&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGbkt4RgIWYSFeanw5pLTIbZur66cJLJ%2F4QjtI9x0RvelL8rkYr0XNKafBX4nfsU40vNqJodjb4EEW6kfZ4I195MMsXe6VktpdbvloSmpuyolRw1wM6eiY6dDfIncvC5h78OQecYq9rnGOB5y75tIES%2BbYIheK6X%2FedyQX5mUgDYuIqnVNo65TBjySa5VmLCcga%2FCXtLoG1oLayVNccBHxrpMeJ%2Bqg7TMukcDbvgKBVQwHYd1%2F2XZrQ%2BcZNboTUMv%2BmdR8%2BhDlxAa9RnFPoFR9%2Ba
gundam,eBay,marketplace,Bandai Spirits RX-78-2 Gundam 1/144 Scale Entry Grade Figure Model Kit USA,14.49,0.0,USD,New,https://www.ebay.com/itm/147337299266?_skw=gundam&hash=item224dfcc542:g:l6sAAeSwEQFqhuOP
gundam,eBay,marketplace,Bandai Hobby Gundam Haropla Haro Pla 02 Haro Basic Green New Ver. Model Kit USA,18.0,0.0,USD,New,https://www.ebay.com/itm/376588636242?_skw=gundam&hash=item57ae6e9052:g:WdYAAeSwt~Bo3Mla
gundam,eBay,marketplace,"#89 MS-18E Kampfer Gundam 0080, Bandai Hobby HGUC",26.0,0.0,USD,New,https://www.ebay.com/itm/177706640897?_skw=gundam&hash=item2960242601:g:UxgAAeSwQERqO~Is
gundam,eBay,marketplace,Bandai Hobby HGAC XXXG-01D2 Gundam Deathscythe Hell HG 1/144 Scale Model Kit,25.95,0.0,USD,New,https://www.ebay.com/itm/137549270934?_skw=gundam&hash=item2006934f96:g:uicAAeSwF5Bqh0kQ
gundam,eBay,marketplace,Bandai Hobby Gundam SEED #58 Astray Red Frame Flight Unit HG 1/144 Model Kit USA,28.51,0.0,USD,New,https://www.ebay.com/itm/147473998686?_skw=gundam&hash=item225622a35e:g:xeQAAeSw7SlqhzH7
